X,Y,name
121,394,Berlin
285,379,Bialystok
179,519,Bratislava
216,537,Budapest
199,381,Bydgoszcz
210,346,Gdansk
152,390,Gorzow Wlkp.
299,182,Helsinki
215,461,Katowice
244,443,Kielce
418,440,Kiev
402,539,Kishinev
115,305,Copenhagen
232,466,Krakow
35,535,Liechtenstein
127,574,Ljubljana
277,432,Lublin
223,418,Lodz
355,352,Minsk
240,363,Olsztyn
196,449,Opole
101,185,Oslo
180,400,Poznan
133,462,Prague
294,272,Ryga
269,465,Rzeszow
142,370,Szczecin
203,209,Stockholm
298,203,Tallinn
209,383,Torun
250,406,Warszawa
166,516,Vienna
316,334,Vilnius
181,436,Wroclaw
155,583,Zagreb
155,412,Zielona Gora